2025-01-03 07:50:17,417 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T07:50:17.417118", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 07:50:17,457 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:50:17.457586", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 07:50:17,478 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:50:17.478639", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 07:50:17,861 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:50:17.861766", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 07:53:36,211 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T07:53:36.211006", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 07:53:36,260 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:53:36.260524", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 07:53:36,285 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:53:36.285321", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 07:53:36,664 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:53:36.664145", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 07:59:03,648 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T07:59:03.648932", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 07:59:03,699 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:59:03.699031", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 07:59:03,722 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:59:03.722570", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 07:59:04,111 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T07:59:04.111548", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
